Brand,All_vegan,Partial_vegan,Bad_parent_company,Black_owned,Ulta,Sephora,Beauty_Bay,Cult_Beauty,Nordstrom
Every Man Jack,False,False,False,False,1.0,,,,
Everyday Minerals ,True,False,False,False,,,,,
Evologie,False,False,False,False,,,,,
Evolve Organic Beauty ,True,False,False,False,,,,,
Exa Beauty ,True,False,False,False,,,,,
Eye of Horus,False,False,False,False,,,1.0,,
Eye of Horus Cosmetics,False,False,False,False,,,,,
Eylure,False,False,False,False,1.0,,,,
FAR Botanicals ,True,False,False,False,,,,,
FARSALI ,True,False,False,False,,,,1.0,
FARSÁLI ,True,False,False,False,,1.0,,,
Face Atelier,False,False,False,False,,,,,
Face Halo ,True,False,False,False,,,,,
Fairy Girl ,True,False,False,False,,,,,
Fairypants,False,False,False,False,,,,,
"Fanciful Fox, The- 100% vegan",True,False,False,False,,,,,
Farmacy,False,False,False,False,,,,1.0,
Farmacy ,False,False,True,False,,1.0,,,
Fenty Beauty,False,False,False,False,1.0,,,,
Fenty Beauty (list of Fenty Beauty vegan options),False,False,False,False,,1.0,,,
Fenty Skin ,True,False,False,False,,1.0,,,
Feral Cosmetics ,True,False,False,False,,,,,
Festival Face,False,False,False,False,,,1.0,,
FiOR Minerals ,True,False,False,False,,,,,
Flawless Professional Vegan Beauty ,True,False,False,False,,,,,
Flesh Beauty ,False,False,True,False,,,,,
Flo + Theo ,True,False,False,False,,,,,
Floral Street ,True,False,False,False,,1.0,,,
Flower Beauty,False,False,False,False,1.0,,,,
For The Biome,False,False,False,False,,,,,
Forager Botanicals ,True,False,False,False,,,,,
Forest Creek,False,False,False,False,,,,,
Formulary 55,False,False,False,False,,,,,
Four Sigmatic,False,False,False,False,,,,1.0,
Fourth Ray Beauty ,True,False,False,False,1.0,,,,
Frank Body,False,False,False,False,,1.0,,,
Frank Body ,False,True,False,False,1.0,,1.0,1.0,1.0
Franklin & Whitman ,True,False,False,False,,,,,
Freck Beauty ,True,False,False,False,,1.0,,,
Fusion of Color Cosmetics,False,False,False,False,,,,,
Fyrinnae,False,False,False,False,,,,,
GLAMCOR,False,False,False,False,,,,1.0,
GLAMCORp,False,False,False,False,,,,,
GLOSS Moderne ,True,False,False,False,,,,,
GOSH Cosmetics,False,False,False,False,,,,,
GXVE Beauty ,True,False,False,False,,1.0,,,
GYV Mesoamerican Beauty ,True,False,False,False,,,,,
Gabriel Cosmetics,False,False,False,False,,,,,
Gaia Secrets,False,False,False,False,,,,,
Garden of Wisdom,False,False,False,False,,,,,
Garnier ,False,False,True,False,1.0,,,,
Geek Chic Cosmetics ,True,False,False,False,,,,,
"Gel Bottle, The -100% vegan",True,False,False,False,,,,,
Gerard Cosmetics,False,False,False,False,,,1.0,,
Giovanni,False,False,False,False,,,,,
GladRags,False,False,False,False,,,,,
Glamlite ,False,False,False,True,,,,,
Glossier,False,False,False,False,,,,,
Glow Recipe,False,False,False,False,,1.0,,,
Glowoasis ,True,False,False,False,,,,,
"Gnarly Whale, The",False,False,False,False,,,,,
Goby,False,False,False,False,,,,,
Goddess Garden Organics ,True,False,False,False,,,,,
Goli Nutrition,False,False,False,False,,,,,
Good Chemistry ,True,False,False,False,,,,,
Good Dye Young ,True,False,False,False,,1.0,,,
Good Molecules,False,False,False,False,,,,,
Grace & Stella ,True,False,False,False,,,,,
Green & Gorgeous Organics,False,False,False,False,,,,,
Green Beaver,False,False,False,False,,,,,
Green People,False,False,False,False,,,,,
Green Tidings ,True,False,False,False,,,,,
Green Virgin Products,False,False,False,False,,,,,
Gressa,False,False,False,False,,,,,
Grove Collaborative,False,False,False,False,,,,,
Gwen’s Blends,False,False,False,False,,,,,
HAN Skincare Cosmetics,False,False,False,False,1.0,,,,
HAN Skincare Cosmetics,False,False,False,False,,,,,
Habit Cosmetics ,True,False,False,False,,,,,
Hain Celestial,False,False,False,False,,,,,
Half Magic Beauty ,True,False,False,False,,,,,
Hand in Hand Soap ,True,False,False,False,,,,,
Handmade Heroes ,True,False,False,False,,,,,
Harvey Prince ,True,False,False,False,,,,,
Hask,False,False,False,False,1.0,,,,
Haus Labs by Lady Gaga ,True,False,False,False,,,,,
Healanah ,True,False,False,False,,,,,
Hello Products ,True,False,True,False,1.0,,,,
Hempz,False,False,False,False,1.0,,,,
Herbal Choice Mari ,True,False,False,False,,,,,
Herbal-Medi-Care ,True,False,False,False,,,,,
Herban Cowboy,False,False,False,False,,,,,
Herbivore ,True,False,False,False,,1.0,,,
Heritage Store,False,False,False,False,1.0,,,,
Hero Cosmetics (also known as Mighty Patch),False,False,False,False,,,,,
HiSmile ,True,False,False,False,,,,,
High Endurance Cosmetics,False,False,False,False,,,,,
Homemade Betty ,True,False,False,False,,,,,
"Honey Pot Co, The ",False,False,False,True,,,,,
Honeybee Gardens,False,False,False,False,,,,,
Hot Tresses ,True,False,False,False,,,,,
Hourglass Cosmetics ,False,False,True,False,1.0,,,,
Hourglass Cosmetics ,False,True,True,False,,,,1.0,1.0
Hourglass Cosmetics ,False,True,True,False,,1.0,,,
Hourglass ,False,True,True,False,,,,,
House of Lashes,False,False,False,False,1.0,,1.0,,
Huda Beauty,False,False,False,False,,1.0,,,
Hugo Naturals ,True,False,False,False,,,,,
Hum Nutrition,False,False,False,False,,1.0,,,1.0
Hurraw! ,True,False,False,False,,,,,
Hustle Butter,False,False,False,False,,,,,
Hylamide ,False,False,True,False,,,,,
Hynt Beauty,False,False,False,False,1.0,,,,
IGK ,True,False,False,False,,1.0,,,
IGK -100% vegan,True,False,False,False,1.0,,,,
IME Natural Perfume ,True,False,False,False,,,,,
INIKA ,True,False,False,False,,,,,
IT Cosmetics ,False,False,True,False,,,,,
If You Care,False,False,False,False,,,,,
Illume,False,False,False,False,,,,,
Illuminare Cosmetics ,True,False,False,False,,,,,
Imayla Beauty,False,False,False,False,,,,,
Indie Blends ,True,False,False,False,,,,,
Indie Lee,False,False,False,False,1.0,1.0,,1.0,1.0
Indigo Wild,False,False,False,False,,,,,
"Inkey List, The",False,False,False,False,,1.0,,,
Inkling Scents,False,False,False,False,,,,,
Innate Organic Body ,True,False,False,False,,,,,
Inoar,False,False,False,False,,,,,
Insert Name Here,False,False,False,False,,,,,
Intelligent Nutrients,False,False,False,False,,,,,
IsaDora,False,False,False,False,,,,,
Isle of Paradise ,True,False,False,False,,1.0,,,
It’s A 10,False,False,False,False,,,,,
It’s a 10,False,False,False,False,1.0,,,,
J.R. Watkins,False,False,False,False,1.0,,,,
Jacq’s ,True,False,False,False,,,,,
Jane Carter Solution ,True,False,False,True,,,,,
Jane Iredale,False,False,False,False,1.0,,,,1.0
Jason Naturals,False,False,False,False,,,,,
JaxKelly,False,False,False,False,,,,,
Jecca Black/Jecca Makeup ,True,False,False,False,,,,,
Jeffree Star Cosmetics ,True,False,False,False,,,1.0,,
Jillian Wright Skincare,False,False,False,False,,,,,
Jing Ai,False,False,False,False,,,,,
Jivi ,True,False,False,False,,,,,
Johnny Concert ,True,False,False,False,,,,,
Jordana,False,False,False,False,,,1.0,,
Josh Rosebrook,False,False,False,False,,,,,
Joshik Polish ,True,False,False,False,,,,,
Josie Maran,False,False,False,False,1.0,1.0,,,
Josie Maran Cosmetics,False,False,False,False,,,,,
Jouer ,False,True,False,False,,,,,1.0
Jouer Cosmetics ,False,True,False,False,,1.0,1.0,1.0,
Joëlle Ciocco Paris,False,False,False,False,,,,,
Juice Beauty ,True,False,False,False,1.0,,,,
Juniper Ridge,False,False,False,False,,,,,
Jusu Body,False,False,False,False,,,,,
Juvia’s Place,False,False,False,False,,,,,
KHUS+KHUS modern herbal fusion,False,False,False,False,,,,,
KKW Beauty ,False,False,True,False,,,,,
KKW Fragrance ,True,False,True,False,,,,,
KORA Organics,False,False,False,False,,1.0,,,
KORRES,False,False,False,False,1.0,1.0,,,
KPS Essentials,False,False,False,False,,,,,
KVD Beauty ,True,False,False,False,1.0,,,,
KVD Beauty (formerly Kat Von D Beauty and KVD Vegan Beauty) ,True,False,False,False,,1.0,,,
KVoss ,True,False,False,False,,,,,
KYPRIS,False,False,False,False,,,,,1.0
Kaeng Raeng ,True,False,False,False,,,,,
Kahina Giving Beauty,False,False,False,False,,,,,
Kaia Naturals,False,False,False,False,,,,,
Kalon Kosmetics ,False,False,False,True,,,,,
Kani Botanicals ,True,False,False,False,,,,,
Kaplan MD Skincare,False,False,False,False,,,,,
Kapuluan Coconut,False,False,False,False,,,,,
Kate Ryan Skincare,False,False,False,False,,,,,
Katherine Cosmetics,False,False,False,False,,,,,
Kavella Haircare ,True,False,False,False,,,,,
Kelley Quan ,True,False,False,False,,,,,
Kester Black ,True,False,False,False,,,,,
Kett Cosmetics,False,False,False,False,,,,,
Key West Aloe ,True,False,False,False,,,,,
Keys Soulcare,False,False,False,False,1.0,,,,
Kimberly Parry Organics,False,False,False,False,,,,,
Kinship,False,False,False,False,1.0,,,,
Kirei Cosmetics ,True,False,False,False,,,,,
Kiss,False,False,False,False,,,,,
Kiss My Face,False,False,False,False,,,,,
Kitaka of London ,False,False,False,True,,,,,
Kitsch,False,False,False,False,,,1.0,,
Kitsch ,True,False,False,False,1.0,1.0,,,
Klarity Kosmetics ,False,False,False,True,,,,,
Klo Organic Beauty ,True,False,False,False,,,,,
Kneipp,False,False,False,False,,,,,
Ko & Humble ,True,False,False,False,,,,,
Ko Gen Do,False,False,False,False,,,,,1.0
Koh Gen Do,False,False,False,False,,1.0,,,
Kopari ,False,True,False,False,1.0,,,1.0,1.0
Kopari ,True,False,False,False,,1.0,,,
Kopari Beauty,False,False,False,False,,,,,
Kosas,False,False,False,False,,1.0,,1.0,1.0
Kosas ,False,False,False,False,,,,,
Kosia ,True,False,False,False,,,,,
Krave Beauty ,True,False,False,False,,,,,
Kristin Ess,False,False,False,False,,,,,
Kylie Cosmetics ,False,False,True,False,1.0,,,,
Kylie Cosmetics ,True,False,True,False,,,,,
Kylie Skin ,False,False,True,False,1.0,,,,
Kylie Skin ,True,False,True,False,,,,,1.0
L.A. Girl,False,False,False,False,,,,,
LAIA Skincare ,True,False,False,False,,,,,
LAVANILA,False,False,False,False,1.0,1.0,,,
LH Cosmetics (Linda Hallberg Cosmetics),False,False,False,False,,,,,
LVX ,True,False,False,False,,,,,
LXMI ,True,False,False,False,,1.0,,,
LYS Beauty ,True,False,False,False,,1.0,,,
LYS Beauty ,True,False,False,True,,,,,
La Couleur Couture (LACC) ,True,False,False,False,,,,,
La Fresh Eco Beauty,False,False,False,False,,,,,
Lalila Beauty,False,False,False,False,,,,,
Lamain Beauty ,False,False,False,True,,,,,
Lamik Beauty ,False,False,False,True,,,,,
Lather,False,False,False,False,,,,,
Laurel Whole Plant Organics,False,False,False,False,,,,,
Lauren B. Beauty ,True,False,False,False,,,,,
Lauren Brooke Cosmetiques,False,False,False,False,,,,,
Laurmé Skin Care,False,False,False,False,,,,,
Lavanila,False,False,False,False,,,,,
Lavina,False,False,False,False,,,,,
Lawless,False,False,False,False,,1.0,,,
Leaf People,False,False,False,False,,,,,
Leahlani Skincare,False,False,False,False,,,,,
Legendary Apothecary ,True,False,False,False,,,,,
Leilano Beauty ,False,False,False,True,,,,,
Lethal Cosmetics ,True,False,False,False,,,,,
Lewin & Reilly,False,False,False,False,,,,,
Light Mountain Natural Hair Color ,True,False,False,False,,,,,
Lily Lolo,False,False,False,False,,,,,
Lime Crime ,True,False,False,False,1.0,,,1.0,1.0
Lina Hanson ,True,False,False,False,,,,,
Linda Hallberg Cosmetics,False,False,False,False,,,1.0,,
Lip Lab,False,False,False,False,,,,,
Little Moon Essentials,False,False,False,False,,,,,
Live Tinted ,True,False,False,False,,,,,
Living Proof,False,False,False,False,,1.0,,,
Loa Skin ,True,False,False,False,,,,,
Logona ,False,False,True,False,,,,,
LolaVie ,True,False,False,False,,,,,
Loola Cosmetics ,False,False,False,True,,,,,
Lord & Berry,False,False,False,False,,,,,
Lotus Wei,False,False,False,False,,,,,
Lovegrove Essentials ,True,False,False,False,,,,,
Lovesong Beauty ,True,False,False,False,,,,,
Lovetica Beauty,False,False,False,False,,,,,
Loving Tan ,True,False,False,False,1.0,,,,
Loving Tan ,True,False,False,False,,,,,
Lulu Blossom,False,False,False,False,,,,,
Luna Nectar,False,False,False,False,,,,,
Luna Oil Organics ,True,False,False,False,,,,,
Lunar Tides ,True,False,False,False,,,,,
LunatiCK Cosmetic Labs ,True,False,False,False,,,,,
Lunette ,True,False,False,False,,,,,
Luscious Cosmetics ,True,False,False,False,,,,,
Lush,False,False,False,False,,,,,
Lust Cosmetics ,True,False,False,False,,,,,
"Luv Scrub, The ",False,False,False,True,,,,,
Luxie Beauty ,True,False,False,False,,,1.0,,
MAHALO Skin Care,False,False,False,False,,,,,
